pose,videoLanguage,start,end,text,split
s2m00c26dbe4aa718fa336844cdc70226ee.pose,gsg,711,2593,𝠀񋾡񋾡񎑱񆄡񈗥񆳁񆄱񆄹񇑋񇑛񋻥񋑥񋑵𝠃𝥌𝥈񋾡𝣀𝣍񋾡𝤉𝣍񎑱𝣊𝣢񆄡𝣦𝣄񈗥𝣧𝣖񆳁𝣳𝣗񆄱𝤣𝣳񆄹𝤄𝣹񇑋𝤻𝣹񇑛𝣮𝣿񋻥𝤐𝥂񋑥𝤡𝤄񋑵𝤂𝤋,train
s2m00e8349a897c56be7dce1e5d40a5c7de.pose,gsg,525,1677,𝠀񆱵񋾡񍧱񆱵񇆧񇆳񋸥񆇡񂐒񂐚𝠃𝤯𝤽񆱵𝤕𝤀񋾡𝣴𝣏񍧱𝣻𝣣񆱵𝣞𝤀񇆧𝤒𝤖񇆳𝣬𝤖񋸥𝣾𝤷񆇡𝤁𝣴񂐒𝤇𝤀񂐚𝣮𝤀,train
s2m010bea01577cecd07c8b142fe6710660.pose,gsg,593,1474,𝠀񋾡񍧱񆇡񋵡񀕓񂇙񇆣𝠃𝤢𝤵񋾡𝣫𝣘񍧱𝣲𝣬񆇡𝣽𝤏񋵡𝣰𝤡񀕓𝤄𝤋񂇙𝣰𝤄񇆣𝤓𝤜,train
s2m0112b817df163ec7ddf6211ea4503c9c.pose,gsg,383,1050,𝠀񋾡񋾡񍲑񄨁񄶱񈗡񋔡񋓁𝠃𝤻𝤹񋾡𝣑𝣓񋾡𝤂𝣓񍲑𝣠𝣧񄨁𝣙𝣹񄶱𝤐𝣺񈗡𝣤𝤗񋔡𝤤𝤌񋓁𝤑𝤙,train
s2m0131b8fd0a5f0932265ce7907f02bf22.pose,gsg,383,1466,𝠀񋾡񋾡񍪱񋔩񈗤񈗶񁲱񁲹񋸥񆳅񆳅񁯡𝠃𝤾𝥇񋾡𝣎𝣆񋾡𝤋𝣆񍪱𝣙𝣜񋔩𝣔𝤂񈗤𝤫𝤗񈗶𝤂𝤗񁲱𝤦𝣶񁲹𝣼𝣵񋸥𝤖𝥁񆳅𝤮𝣮񆳅𝤂𝣭񁯡𝣘𝣰,train
s2m0133a14efdba76c4f6ff5291380d7592.pose,gsg,583,2233,𝠀񋾡񋾡񍲑񄶱񋗩񂤁񂤉񋎧񋎿񆇡񆇡񋸥𝠃𝤳𝥅񋾡𝣚𝣈񋾡𝤋𝣈񍲑𝣩𝣜񄶱𝣟𝣰񋗩𝣡𝤐񂤁𝤟𝤓񂤉𝤊𝤓񋎧𝤟𝣸񋎿𝤆𝣸񆇡𝤘𝣲񆇡𝤘𝤊񋸥𝤖𝤿,train
s2m015ba2801467dc55e22a9b76fce33dc8.pose,gsg,644,1186,𝠀񋾡񍧱񁸡񁸩񇀥񈗡񈗡񇀵񈗱񈗱񋺅𝠃𝤥𝥃񋾡𝣴𝣉񍧱𝣻𝣝񁸡𝤌𝣩񁸩𝣧𝣩񇀥𝤈𝤑񈗡𝤕𝤉񈗡𝤕𝤧񇀵𝣵𝤑񈗱𝣪𝤧񈗱𝣪𝤉񋺅𝣾𝤸,train
s2m015bbec5ad2d05ca901ddaefd5496e4c.pose,gsg,491,2033,𝠀񋾡񋾡񎑱񁸡񁸩񉛇񉛟񂌹񀁒񊻄񆕁񋵡񋸥𝠃𝥙𝤾񋾡𝢽𝣢񋾡𝤒𝣢񎑱𝣇𝣷񁸡𝤲𝣐񁸩𝤀𝣏񉛇𝤺𝣰񉛟𝣱𝣯񂌹𝣄𝤏񀁒𝣓𝤖񊻄𝣗𝤨񆕁𝢳𝤙񋵡𝣂𝤬񋸥𝤞𝤸,train
s2m017dbe897766e8c8e80454f525baf34c.pose,gsg,610,1203,𝠀񋾡񍲑񀟣񂇙񎲡񋵡񇀧񆇡񇀣𝠃𝤣𝤺񋾡𝣿𝣒񍲑𝤎𝣦񀟣𝤂𝤌񂇙𝣴𝣩񎲡𝣹𝤄񋵡𝣪𝤆񇀧𝤂𝤜񆇡𝣺𝤈񇀣𝤂𝤪,train
s2m019432577b13cdba0bf7b0e8a08884eb.pose,gsg,583,1450,𝠀񋾡񍸑񂈗񅪁񋵡񈗧𝠃𝤟𝤫񋾡𝣭𝣡񍸑𝣹𝣸񂈗𝣯𝤘񅪁𝣰𝤌񋵡𝣯𝤦񈗧𝤐𝤌,train
s2m0199b7a7040aef25cddc0ef9c62f465e.pose,gsg,583,1450,𝠀񋾡񋾡񍪱񅩸񇒣񃇱𝠃𝤱𝤸񋾡𝣜𝣔񋾡𝤍𝣔񍪱𝣧𝣪񅩸𝣥𝣾񇒣𝤘𝤑񃇱𝤔𝣾,train
s2m019bf5ab18fef5f2b9a252a4f5f1d56d.pose,gsg,416,3183,𝠀񋾡񋾡񎑱񆄱񆄹񋑥񋑵񋻥񄶱񇑃𝠃𝤴𝥄񋾡𝣘𝣈񋾡𝤉𝣈񎑱𝣢𝣝񆄱𝤠𝣮񆄹𝤋𝣴񋑥𝤝𝤅񋑵𝤅𝤊񋻥𝤒𝤾񄶱𝣞𝣰񇑃𝣣𝤐,train
s2m01b1418d488879b358b9a50873b06364.pose,gsg,1118,1610,𝠀񋾡񍘱񈁁񁳑񆸁𝠃𝤣𝤮񋾡𝣩𝣞񍘱𝣴𝣶񈁁𝤓𝣺񁳑𝣷𝤏񆸁𝣲𝤂,train
s2m01c262727d2b9a49d9acf050b57f9213.pose,gsg,254,2016,𝠀񋾡񌀈񍦑񎑱񆇡񃁲񃁺񆇡񆱡񆱡񆿅񆿕񄧡񋎩𝠃𝥉𝤲񋾡𝤒𝣦񌀈𝣄𝣦񍦑𝤟𝣻񎑱𝣎𝣻񆇡𝣠𝣝񃁲𝤥𝤐񃁺𝤋𝤐񆇡𝤟𝤗񆱡𝤵𝤋񆱡𝤉𝤋񆿅𝤼𝤣񆿕𝤀𝤣񄧡𝣤𝣛񋎩𝣭𝣻,dev
s2m01db18bc4fe447fc474d02e9775ab63a.pose,gsg,610,1694,𝠀񋾡񋾡񍸑񁲁񂣹񋵡񀀃񆿃񋎩񅊂񂣹񋵡񋴅𝠃𝥒𝥁񋾡𝣋𝣋񋾡𝤠𝣋񍸑𝣗𝣢񁲁𝣒𝤁񂣹𝤟𝤍񋵡𝤛𝤥񀀃𝤴𝤕񆿃𝤱𝤨񋎩𝣭𝤢񅊂𝣫𝤃񂣹𝢿𝤍񋵡𝢻𝤥񋴅𝣚𝤶,train
s2m01e904d64883047ff23072fefbf7b264.pose,gsg,525,2491,𝠀񋾡񋾡񎋱񁳑񁳙񉤉񉤑񋸥񆿁񆱡񆱡񆿑񋺅񂮱񂮹𝠃𝥈𝥅񋾡𝣏𝣈񋾡𝤘𝣈񎋱𝣜𝣜񁳑𝣣𝤖񁳙𝣅𝤖񉤉𝣤𝣫񉤑𝣏𝣫񋸥𝣘𝤾񆿁𝤶𝣬񆱡𝤫𝣱񆱡𝤝𝣱񆿑𝤑𝣬񋺅𝤣𝤺񂮱𝤳𝣿񂮹𝤎𝣿,train
s2m01eab0926e6da17484332b4ac78c96c9.pose,gsg,745,1423,𝠀񋾡񋾡񍦑񂣹񋴅񋵡񋵡񂣹񆿃񀀃񀭁񀕁񋎭𝠃𝥐𝥀񋾡𝣄𝣌񋾡𝤙𝣌񍦑𝣑𝣡񂣹𝣀𝤃񋴅𝣖𝤵񋵡𝢼𝤙񋵡𝤎𝤙񂣹𝤒𝤃񆿃𝤢𝤇񀀃𝤲𝤍񀭁𝣫𝣿񀕁𝣖𝣿񋎭𝣨𝤟,train
s2m01fb19f68405813b0c57fe87f1c9544d.pose,gsg,366,1083,𝠀񋾡񋾡񍘱񃃙񃃑񋵡񆇡񈙈񆇡񋸥񅟏񅟇񇆣񇆷𝠃𝤿𝥂񋾡𝣚𝣋񋾡𝤔𝣋񍘱𝣥𝣣񃃙𝤗𝤆񃃑𝤢𝤃񋵡𝤖𝤖񆇡𝤘𝣺񈙈𝤩𝣩񆇡𝣧𝤁񋸥𝣤𝤼񅟏𝣶𝣹񅟇𝣍𝣹񇆣𝣻𝤓񇆷𝣎𝤓,train
s2m0221f59a5112fb201fcf54a552370b67.pose,gsg,1796,1813,𝠀񋾡񎋱񂐒񆿃񂐚񆿗񆇡񋸥𝠃𝤢𝤼񋾡𝣵𝣑񎋱𝤂𝣥񂐒𝤋𝣸񆿃𝤈𝤑񂐚𝣫𝣸񆿗𝣸𝤑񆇡𝤂𝤁񋸥𝣿𝤶,train
s2m026e8c53e3374dea4a5778024ec83ccb.pose,gsg,627,2135,𝠀񋾡񋾡񍲑񄵑񊒡񊒲񄵙񋺅񁳑񋚫񋛯񁳙񋻥񆸁񆸁񆞁𝠃𝥖𝤻񋾡𝣌𝣒񋾡𝤚𝣒񍲑𝣛𝣦񄵑𝤰𝣻񊒡𝥃𝣹񊒲𝤄𝣸񄵙𝤔𝣻񋺅𝤧𝤰񁳑𝣝𝣻񋚫𝣛𝤛񋛯𝣆𝤠񁳙𝣄𝤀񋻥𝣒𝤴񆸁𝢷𝣴񆸁𝣢𝣰񆞁𝣯𝤔,train
s2m02825e89cf453affb785472531736cf1.pose,gsg,883,1683,𝠃𝤆𝤆񋾡𝤮𝣉񊦑𝢩𝤋񊦂𝣵𝤌񋾡𝣒𝣉񀀒𝥄𝤒񀀚𝤥𝤓񋎯𝤧𝣸񅰺𝣁𝣴񋎧𝥅𝣸񅰲𝣲𝣴񎣡𝣏𝣮񋺅𝣜𝤷񋻥𝤵𝤻񆕁𝣔𝤋񆕁𝣧𝤋񎊑𝣟𝣞,train
s2m02def889e69e44eb0de2de386942a4f7.pose,gsg,677,1644,𝠃𝤆𝤆񁹙𝣪𝤆񋾡𝣷𝣡񁹑𝤏𝤆񋾡𝢩𝣡񂇙𝢩𝤖񀁱𝣁𝤆񆿅𝣃𝤦񆿅𝤖𝤨񆿕𝣰𝤨񋺅𝤁𝥂񎋱𝢶𝣵񆇡𝢶𝤧񆇡𝢶𝤗񋵡𝢩𝤳,train
s2m02ea43815a97276ce5f7fbe40d8ee74e.pose,gsg,450,1000,𝠀񋾡񋾡񎋵񃇨񈟁񄵑񋗡𝠃𝤾𝤵񋾡𝣏𝣗񋾡𝤘𝣗񎋵𝣜𝣫񃇨𝤫𝣰񈟁𝤒𝣻񄵑𝣚𝣼񋗡𝣓𝤚,train
s2m02ec6f818f1357f2ced14a9b17a13296.pose,gsg,457,1254,𝠀񋾡񍩑񋸥񆇡񈝣񈝷񁽨񁽰𝠃𝤣𝤿񋾡𝣴𝣎񍩑𝣿𝣠񋸥𝣿𝤹񆇡𝤁𝣺񈝣𝤎𝤘񈝷𝣫𝤘񁽨𝤌𝣽񁽰𝣩𝣽,train
s2m02fa9b249d2f9cb56e40f52bba37d2dd.pose,gsg,666,866,𝠀񋾡񎋵񎣡񁦳񋎩𝠃𝤥𝤮񋾡𝣾𝣞񎋵𝤋𝣲񎣡𝣻𝤃񁦳𝣨𝤈񋎩𝤆𝤙,train
s2m0337cf928245293f5b24d1e5bb0f7148.pose,gsg,457,1864,𝠀񋾡񎑱񆅚񋵡񁳑񆸁񋚫𝠃𝤤𝤴񋾡𝣪𝣙񎑱𝣴𝣮񆅚𝣯𝤝񋵡𝣩𝤯񁳑𝤈𝤆񆸁𝤄𝣻񋚫𝣯𝤏,train
s2m033fa32fa77aa4f7b0b542b858ec59d4.pose,gsg,559,932,𝠀񋾡񌀈񍘱񎊑񁸂񁸊񇒥񇒽񆏁񃇱񆇡񇆣񋺅𝠃𝥜𝥈񋾡𝣏𝣉񌀈𝤝𝣉񍘱𝣚𝣡񎊑𝤪𝣝񁸂𝣠𝣲񁸊𝣈𝣷񇒥𝣫𝤕񇒽𝢰𝤕񆏁𝣱𝣧񃇱𝥃𝣏񆇡𝤻𝣄񇆣𝥇𝣠񋺅𝣛𝤽,train
s2m035fe9d38afff602db0a92f6f2495d06.pose,gsg,583,666,𝠀񋾡񍧱񇀥񇀵񆄡񆄡񋺅𝠃𝤙𝥃񋾡𝣴𝣊񍧱𝣻𝣞񇀥𝤉𝤐񇀵𝣳𝤐񆄡𝣵𝣾񆄡𝤈𝣾񋺅𝣾𝤸,train
s2m037e0a7b6ed4eb005fb111f8e1683f24.pose,gsg,33,966,𝠀񂇈񂇂񋾡񎑱񋴅񊤥񊤱񊤢񂈗񂈓񂇃񋺅𝠃𝥎𝥁񂇈𝢿𝣮񂇂𝤃𝣮񋾡𝣚𝣋񎑱𝣤𝣠񋴅𝤏𝤡񊤥𝤳𝤉񊤱𝣍𝣻񊤢𝣱𝣻񂈗𝣎𝤔񂈓𝣯𝤔񂇃𝤫𝣺񋺅𝣥𝤶,train
s2m038e0829d377ad58ab97bd661442b3f4.pose,gsg,550,1000,𝠃𝤆𝤆񋾡𝢩𝤉񉶉𝣀𝥞񃂲𝢸𝥇񂣹𝢰𝥀񆙡𝢲𝤰񎋱𝢶𝤝񋵡𝢬𝥖,train
s2m03b350e162e2c3472224b9dfbe85e3b0.pose,gsg,966,1508,𝠀񋾡񎑱񂣱񂣹񈙇񈙓񋸥񆱥񆱥񆕁𝠃𝤶𝤿񋾡𝣳𝣍񎑱𝣽𝣢񂣱𝣾𝣻񂣹𝣹𝤄񈙇𝤘𝣼񈙓𝣗𝤘񋸥𝣽𝤹񆱥𝣨𝤖񆱥𝤘𝣺񆕁𝤋𝤎,train
s2m03c49793878c9794ee5ab39e4ed9054c.pose,gsg,322,1728,𝠀񋾡񋾡񍪱񆇡񆳁񆳁񇀧񇀳񆇡񂲁񂲉񆳅񆳅񇀣񇀷񆇡񀕣񀕋񋻥񋸥񁼁񁼉񉆟񉆷𝠃𝥴𝥉񋾡𝣁𝣄񋾡𝤺𝣄񍪱𝣌𝣚񆇡𝥈𝣫񆳁𝣝𝣪񆳁𝢾𝣪񇀧𝣙𝤂񇀳𝢭𝤁񆇡𝣍𝤁񂲁𝣓𝣴񂲉𝣁𝣴񆳅𝢷𝤑񆳅𝣤𝤑񇀣𝣓𝤗񇀷𝢳𝤗񆇡𝣍𝤥񀕣𝥌𝣸񀕋𝤱𝣹񋻥𝥅𝥃񋸥𝣋𝥃񁼁𝣷𝣹񁼉𝢙𝣸񉆟𝤦𝤌񉆷𝥓𝤌,train
s2m03c9c0d26667e7a0609b9c88f56ac3fb.pose,gsg,932,1271,𝠀񋾡񋾡񎋵񂣹񋵡񂱑񇆥񆇡񂤩񂤡񈗷񈗣񆇡񋸥𝠃𝥁𝤽񋾡𝣌𝣏񋾡𝤕𝣏񎋵𝣙𝣣񂣹𝣕𝤚񋵡𝣒𝤰񂱑𝣖𝣸񇆥𝣛𝤉񆇡𝣐𝤐񂤩𝤍𝣾񂤡𝤯𝣾񈗷𝤕𝤓񈗣𝤪𝤓񆇡𝤢𝤃񋸥𝤟𝤷,train
s2m03c9f5f880f63d33253bbd4d239cecb3.pose,gsg,932,1271,𝠀񋾡񌀅񎑱񆅡񆅩񆕁񉌏񋵡񃧁񆕁񇞥𝠃𝤶𝤱񋾡𝤐𝣛񌀅𝣖𝣛񎑱𝣠𝣰񆅡𝤧𝤆񆅩𝤓𝤘񆕁𝤤𝤗񉌏𝤐𝤊񋵡𝤕𝤩񃧁𝣧𝣿񆕁𝣙𝣾񇞥𝣤𝤕,train
s2m0410f5b5f9dbc997c063ca8df76b5aaf.pose,gsg,783,1016,𝠀񋾡񍘱񆅩񃋱񋵡񆇡񆞁񇆥𝠃𝤨𝤯񋾡𝣤𝣝񍘱𝣯𝣵񆅩𝣫𝤙񃋱𝣽𝤇񋵡𝣬𝤪񆇡𝣮𝤌񆞁𝤐𝤓񇆥𝤏𝤜,train
s2m0412461ef05f7cae504a2be73dbe2862.pose,gsg,700,1783,𝠀񋾡񎑱񃈉񃈁񆇡񆇡񋎧񋎿񋸥𝠃𝤡𝥉񋾡𝣴𝣄񎑱𝣾𝣙񃈉𝣫𝤅񃈁𝤈𝤅񆇡𝤁𝣪񆇡𝤁𝣹񋎧𝤌𝣪񋎿𝣫𝣪񋸥𝣿𝥃,train
s2m0413bdfb21c0840aa451239806392055.pose,gsg,1118,3135,𝠀񂇓񋾡񋾡񍧱񈬨񈭀񆇡񂇡񆿅񆇡񋵡񀠱񀠹񋸥񆇡𝠃𝤸𝥉񂇓𝤕𝣴񋾡𝣕𝣃񋾡𝤏𝣃񍧱𝣜𝣗񈬨𝣨𝣪񈭀𝣙𝣪񆇡𝣣𝤣񂇡𝤎𝣳񆿅𝤫𝤂񆇡𝤜𝤂񋵡𝤎𝤐񀠱𝣨𝤃񀠹𝣘𝤃񋸥𝣡𝥃񆇡𝤜𝤓,train
s2m042582f66a742ad01149715157b0922e.pose,gsg,300,666,𝠀񋾡񋾡񅟂񍩑񋟁񀟱񀧡񋎭𝠃𝤴𝤵񋾡𝣙𝣘񋾡𝤊𝣘񅟂𝤏𝣽񍩑𝣤𝣪񋟁𝤥𝤎񀟱𝣚𝣿񀧡𝣭𝣿񋎭𝣚𝤠,train
s2m0434d93dae1bbd966847fb808cb90cdf.pose,gsg,559,1796,𝠀񋾡񋾡񍘱񆇡񋸥񅮑񅮙񆱡񆱡񆱥񆱥񇀧񇀳񃃑񃃙񋵡񆇡񈙁𝠃𝥐𝥀񋾡𝣐𝣍񋾡𝤙𝣍񍘱𝣛𝣥񆇡𝣝𝣷񋸥𝣚𝤺񅮑𝣣𝤄񅮙𝣄𝤄񆱡𝣩𝤘񆱡𝣐𝤘񆱥𝣄𝤘񆱥𝣵𝤘񇀧𝣪𝤝񇀳𝢽𝤞񃃑𝤬𝤄񃃙𝤓𝤄񋵡𝤔𝤕񆇡𝤦𝣶񈙁𝥀𝣴,train
s2m04377e9e405be3de5fbb351506d4b9ae.pose,gsg,457,542,𝠀񇀤񇀴񋾡񍬑񋺅񀕸񀕺𝠃𝤱𝤸񇀤𝤀𝤁񇀴𝣥𝤀񋾡𝣛𝣕񍬑𝣢𝣫񋺅𝣥𝤭񀕸𝤓𝣮񀕺𝣷𝣨,train
s2m043f5179ea636db44690534fa8ded04a.pose,gsg,932,1152,𝠀񋾡񋾡񎋵񁵃񁵋񇀣񇀷񆊡񋟧񋸥񋺅񁵋񁵃񆊡𝠃𝥐𝥅񋾡𝣖𝣉񋾡𝤦𝣈񎋵𝣣𝣝񁵃𝣳𝣴񁵋𝢼𝣴񇀣𝣳𝤏񇀷𝢼𝤏񆊡𝣞𝣺񋟧𝤪𝤡񋸥𝣠𝤻񋺅𝤯𝤺񁵋𝤛𝣵񁵃𝤱𝣲񆊡𝤮𝤏,train
s2m04522785bb6205d335a6b951cf46ac6a.pose,gsg,716,783,𝠀񋾡񎑱񂌚񋵡񁳒񆞁񋟇񆸁𝠃𝤢𝤺񋾡𝣯𝣓񎑱𝣹𝣨񂌚𝣪𝤛񋵡𝣬𝤵񁳒𝣻𝤋񆞁𝤓𝤑񋟇𝣿𝤪񆸁𝣶𝣾,train
s2m04715aa7883fdd7653805969c6f72fac.pose,gsg,716,783,𝠀񌀅񍸑񁲲񊒡𝠃𝤝𝤦񌀅𝣯𝣦񍸑𝣻𝣽񁲲𝣷𝤋񊒡𝤊𝤄,train
s2m0472a8cc1938ff333d8ea64c38a4941a.pose,gsg,627,1423,𝠀񋾡񋾡񎋱񀁱񋵡񆇡񋺅񈠱񈠡񂇙񆿅񆇡񀟱񀟹𝠃𝥃𝤻񋾡𝣊𝣒񋾡𝤓𝣒񎋱𝣗𝣦񀁱𝣢𝣵񋵡𝣋𝤡񆇡𝣗𝤇񋺅𝤞𝤰񈠱𝤈𝤗񈠡𝤨𝤗񂇙𝣋𝤄񆿅𝣤𝤕񆇡𝣗𝤖񀟱𝤱𝣷񀟹𝤋𝣷,train
s2m04a57f88fc3eaeea32c0d6a08fd4ace0.pose,gsg,2135,2305,𝠀񋾡񋾡񋾡񎘁񈙡񄵑񋗡񂈙񀁑񀁙񆇡񇋍񊡡𝠃𝥉𝤿񋾡𝣃𝣎񋾡𝣴𝣎񋾡𝤥𝣎񎘁𝣐𝣤񈙡𝤯𝤡񄵑𝣽𝣴񋗡𝣽𝤔񂈙𝣍𝤆񀁑𝤹𝣴񀁙𝤧𝣴񆇡𝤲𝤔񇋍𝣆𝤣񊡡𝣓𝣶,train
s2m04c11fb3bcb5eaef86adf10e60345809.pose,gsg,1016,1350,𝠀񋾡񋾡񍸑񆅡񆅩񆕁񉌏񋵡񄵑񄵙񇆧񇆳񋸥𝠃𝤿𝤸񋾡𝣞𝣕񋾡𝤘𝣕񍸑𝣪𝣬񆅡𝤰𝤂񆅩𝤜𝤔񆕁𝤭𝤓񉌏𝤘𝤆񋵡𝤞𝤥񄵑𝣽𝣡񄵙𝣍𝣡񇆧𝣾𝤁񇆳𝣔𝤁񋸥𝣩𝤲,train
s2m04c2a4812d3eea1a5820f8550805af7d.pose,gsg,474,1271,𝠀񁶙񁶑񋾡񋾡񍸑񇑍񇑑񋻥񅰡񅰩񆿃񆿗񋸥񆇡𝠃𝥐𝥁񁶙𝤆𝤂񁶑𝤫𝣷񋾡𝤏𝣌񋾡𝣁𝣌񍸑𝣎𝣣񇑍𝤩𝤙񇑑𝣿𝤣񋻥𝤕𝤻񅰡𝣟𝣽񅰩𝢽𝣽񆿃𝣗𝤙񆿗𝣅𝤙񋸥𝣎𝤺񆇡𝣐𝤉,train
s2m04d4b3283dbe245c6fedd7dac452810c.pose,gsg,1796,2152,𝠀񋾡񌀇񎋱񆙡񀀢񇵽񋔮񀁉񋵡񀁁𝠃𝥑𝤳񋾡𝤐𝣞񌀇𝢻𝣞񎋱𝣈𝣲񆙡𝣠𝣚񀀢𝣡𝣩񇵽𝣟𝣾񋔮𝤺𝤃񀁉𝤑𝤍񋵡𝤏𝤮񀁁𝤥𝤍,train
s2m04f10a11e487f67c137b84133d31d728.pose,gsg,745,813,𝠀񋾡񋾡񍸑񂇇񋵡񅤇񇀤񂇙񁼡񋵡񆕁񈙅񋴅𝠃𝥆𝤽񋾡𝣖𝣏񋾡𝤕𝣏񍸑𝣢𝣦񂇇𝣓𝤊񋵡𝣇𝤐񅤇𝣷𝣨񇀤𝣞𝣹񂇙𝤛𝣵񁼡𝤩𝣷񋵡𝤕𝤑񆕁𝤡𝤒񈙅𝤶𝣺񋴅𝣱𝤲,train
s2m04fb16f27a7c6b818e65cd50a44b37e3.pose,gsg,983,1220,𝠀񋾡񎑱񊻅񊻖񀘙񀘑񋺅𝠃𝤥𝥄񋾡𝣴𝣈񎑱𝣾𝣝񊻅𝤄𝤒񊻖𝣧𝤒񀘙𝣯𝣴񀘑𝤏𝣴񋺅𝣾𝤹,train
s2m0517f9202076c4fe1a8c4c2ba211fbb9.pose,gsg,610,1966,𝠀񋾡񋾡񎋱񎑱񁸡񁸩񉟡񉟩񋸥񂇙񁲂񋵡񆇡񇆣𝠃𝥋𝤾񋾡𝣓𝣏񋾡𝤜𝣏񎋱𝤩𝣣񎑱𝣝𝣤񁸡𝣦𝤌񁸩𝣊𝤌񉟡𝣺𝣶񉟩𝣂𝣶񋸥𝣜𝤸񂇙𝤝𝤀񁲂𝤱𝣾񋵡𝤘𝤝񆇡𝤩𝤊񇆣𝤲𝤔,train
